report_date,state_name,state_id,median_listing_price,average_listing_price,median_listing_price_per_square_foot,median_square_feet,total_listing_count,active_listing_count,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_days_on_market
jul21,california,ca,729500,1464195,434,1771,89357,40110,43320,3064,10388,49294,30
jun21,california,ca,748000,1523206,443,1781,87379,35885,44644,3400,8248,51181,30
may21,california,ca,747000,1563199,442,1792,83794,32857,43612,3476,6872,50937,30
apr21,california,ca,748758,1611697,444,1796,80922,31464,41816,3512,5904,49652,31
mar21,california,ca,749000,1652025,448,1798,78713,30072,39888,3204,5744,48541,31
feb21,california,ca,739250,1648922,443,1796,75896,30565,35264,2924,5372,45822,35
jan21,california,ca,719990,1599935,426,1818,72991,32663,32836,2640,5816,40967,52
dec20,california,ca,706488,1530795,415,1830,85809,38644,25948,2428,7024,47164,49
nov20,california,ca,721956,1494699,417,1842,102205,47816,33560,2604,11060,54389,42
oct20,california,ca,720000,1466005,413,1850,106421,49957,43532,3236,13680,56370,35
sep20,california,ca,707500,1439695,405,1863,107174,49164,45964,3144,13092,58026,36
aug20,california,ca,699000,1386219,398,1880,107109,49151,42392,3332,13160,58331,39
jul20,california,ca,694588,1351407,385,1896,108191,52709,41292,2928,14020,55512,43
jun20,california,ca,657500,1275099,362,1901,107181,57775,39488,2696,15020,49406,45
may20,california,ca,606208,1164981,334,1884,97903,62075,36708,1944,15192,35557,56
apr20,california,ca,579000,1126438,316,1861,90815,58618,25900,1804,10848,31934,47
mar20,california,ca,599000,1220896,321,1910,100098,56019,36276,2264,12992,44079,40
feb20,california,ca,574900,1213679,307,1890,95771,55149,36412,2572,12760,40580,42
jan20,california,ca,542836,1124402,296,1865,86815,55393,32944,1888,12596,31319,69
dec19,california,ca,544450,1129713,295,1872,98406,62296,19828,1544,10488,36110,65
nov19,california,ca,559104,1110171,306,1871,117551,75748,30736,1832,21080,41755,56
oct19,california,ca,569950,1094016,311,1873,126617,83282,37464,2072,26516,43334,51
sep19,california,ca,575357,1085832,314,1872,133181,84712,41472,6120,29584,48195,52
aug19,california,ca,577857,1092830,315,1884,134725,87196,42476,4440,30168,47529,49
jul19,california,ca,582500,1099197,316,1896,135691,89354,44780,2256,31104,46390,48
jun19,california,ca,585000,1094948,315,1899,133988,86863,46632,2408,29540,46578,43
may19,california,ca,577000,1085179,314,1888,127770,84927,50056,2428,26820,42842,41
apr19,california,ca,569000,1067854,314,1865,119579,78668,48424,2244,24484,40911,42
mar19,california,ca,551857,1040258,308,1837,113668,77134,41612,4468,26152,36531,47
feb19,california,ca,531950,997870,300,1806,107530,76116,36228,5588,27276,30929,49
jan19,california,ca,523954,973802,294,1800,100737,75828,36700,4884,27088,24913,64
jul21,florida,fl,392500,870253,238,1627,123243,52664,43808,3596,14124,71299,43
jun21,florida,fl,389250,882548,236,1622,126782,49242,45044,4896,11224,77679,43
may21,florida,fl,379000,858732,233,1600,130609,48614,46372,5596,9692,81762,46
apr21,florida,fl,367000,840657,228,1586,136350,52077,45080,6012,9900,84323,52
mar21,florida,fl,352450,815527,221,1580,142749,57990,46416,6276,11404,84759,56
feb21,florida,fl,349000,790882,216,1584,146586,68456,43536,7300,14120,78840,69
jan21,florida,fl,347008,769298,211,1615,144436,81149,42260,8104,16672,63287,75
dec20,florida,fl,348964,758153,208,1641,155801,90697,36280,5292,17764,65014,71
nov20,florida,fl,349092,749911,206,1654,165727,96287,40300,5320,21944,69439,69
oct20,florida,fl,349900,749547,206,1667,168736,97711,44588,6208,22680,70811,69
sep20,florida,fl,349950,744449,205,1679,171595,99862,42792,6852,22532,71873,73
aug20,florida,fl,349000,722806,201,1690,176153,105456,43172,6560,24928,70905,74
jul20,florida,fl,348836,712303,197,1710,182040,111790,42572,5812,26472,70491,87
jun20,florida,fl,344482,695615,194,1722,185737,120611,43224,5296,28264,65412,95
may20,florida,fl,339000,673799,190,1732,182654,131642,38956,4704,28708,51012,86
apr20,florida,fl,333495,663381,187,1739,184898,137023,30064,2952,23656,47758,73
mar20,florida,fl,343450,690512,190,1763,201737,135760,47740,3712,36480,66155,67
feb20,florida,fl,339000,685382,188,1760,200480,136960,46776,4748,39000,62574,77
jan20,florida,fl,335000,679937,187,1767,182712,136150,48448,4240,38320,46561,82
dec19,florida,fl,335000,669867,186,1769,188732,139403,36248,3320,26892,49214,78
nov19,florida,fl,335000,661665,185,1775,192614,139956,43200,3400,37108,52658,76
oct19,florida,fl,334412,648298,185,1781,189955,138882,44752,3476,37436,51073,79
sep19,florida,fl,329950,634996,183,1776,188362,136033,42668,7464,37416,52253,84
aug19,florida,fl,332857,636388,183,1784,193931,139051,42272,5624,37520,54880,84
jul19,florida,fl,335000,639428,183,1791,199754,142781,42504,3592,37980,56885,82
jun19,florida,fl,338432,646723,184,1794,207455,147570,43840,4068,40820,59869,80
may19,florida,fl,335436,652437,184,1788,213679,152377,47384,4688,43324,61507,78
apr19,florida,fl,332826,649131,183,1779,218268,157257,48844,3916,45452,61128,75
mar19,florida,fl,329751,644524,183,1768,217699,161459,49620,4388,53180,56240,73
feb19,florida,fl,326700,639457,182,1758,213153,163956,50596,4740,57644,49037,82
jan19,florida,fl,325000,635525,181,1756,198011,158717,52352,4412,53420,39294,85
