state_name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2021,change2020_21
united states,248790925,281424600,308745538,331449281,331893745,0.10%
alabama,4040389,4447207,4779736,5024279,5039877,0.30%
alaska,550043,626933,710231,733391,732673,-0.10%
arizona,3665339,5130247,6392017,7151502,7276316,1.70%
arkansas,2350624,2673293,2915918,3011524,3025891,0.50%
california,29811427,33871653,37253956,39538223,39237836,-0.80%
colorado,3294473,4302086,5029196,5773714,5812069,0.70%
connecticut,3287116,3405650,3574097,3605944,3605597,0.00%
delaware,666168,783559,897934,989948,1003384,1.40%
district of columbia,606900,572086,601723,689545,670050,-2.80%
florida,12938071,15982571,18801310,21538187,21781128,1.10%
georgia,6478149,8186653,9687653,10711908,10799566,0.80%
hawaii,1108229,1211497,1360301,1455271,1441553,-0.90%
idaho,1006734,1293957,1567582,1839106,1900923,3.40%
illinois,11430602,12419927,12830632,12812508,12671469,-1.10%
indiana,5544156,6080827,6483802,6785528,6805985,0.30%
iowa,2776831,2926538,3046355,3190369,3193079,0.10%
kansas,2477588,2688925,2853118,2937880,2934582,-0.10%
kentucky,3686892,4042193,4339367,4505836,4509394,0.10%
louisiana,4221826,4469035,4533372,4657757,4624047,-0.70%
maine,1227928,1274779,1328361,1362359,1372247,0.70%
maryland,4780753,5296647,5773552,6177224,6165129,-0.20%
massachusetts,6016425,6349364,6547629,7029917,6984723,-0.60%
michigan,9295287,9938823,9883640,10077331,10050811,-0.30%
minnesota,4375665,4919631,5303925,5706494,5707390,0.00%
mississippi,2575475,2844754,2967297,2961279,2949965,-0.40%
missouri,5116901,5596564,5988927,6154913,6168187,0.20%
montana,799065,902200,989415,1084225,1104271,1.80%
nebraska,1578417,1711230,1826341,1961504,1963692,0.10%
nevada,1201675,1998250,2700551,3104614,3143991,1.30%
new hampshire,1109252,1235807,1316470,1377529,1388992,0.80%
new jersey,7747750,8414764,8791894,9288994,9267130,-0.20%
new mexico,1515069,1819017,2059179,2117522,2115877,-0.10%
new york,17990778,18977026,19378102,20201249,19835913,-1.80%
north carolina,6632448,8046346,9535483,10439388,10551162,1.10%
north dakota,638800,642237,672591,779094,774948,-0.50%
ohio,10847115,11353336,11536504,11799448,11780017,-0.20%
oklahoma,3145576,3450451,3751351,3959353,3986639,0.70%
oregon,2842337,3421524,3831074,4237256,4246155,0.20%
pennsylvania,11882842,12280548,12702379,13002700,12964056,-0.30%
rhode island,1003464,1048259,1052567,1097379,1095610,-0.20%
south carolina,3486310,4012023,4625364,5118425,5190705,1.40%
south dakota,696004,754858,814180,886667,895376,1.00%
tennessee,4877203,5689427,6346105,6910840,6975218,0.90%
texas,16986335,20851028,25145561,29145505,29527941,1.30%
utah,1722850,2233183,2763885,3271616,3337975,2.00%
vermont,562758,608613,625741,643077,645570,0.40%
virginia,6189197,7079057,8001024,8631393,8642274,0.10%
washington,4866669,5894281,6724540,7705281,7738692,0.40%
west virginia,1793477,1808193,1852994,1793716,1782959,-0.60%
wisconsin,4891954,5363757,5686986,5893718,5895908,0.00%
wyoming,453589,493786,563626,576851,578803,0.30%
puerto rico,3522037,3808605,3725789,3285874,3263584,-0.70%
