state,population_2020,status,price,bed,bath,acre_lot,city,zip_code,house_size,sold_date
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,394000,3,2,0.57,Millbrook,12545,1440,7/14/2020
New York,20201249,for_sale,595000,3,2,10.9,Clinton Corners,12514,1630,2/24/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,775000,4,3,3.36,Taghkanic,12523,2553,8/27/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,995000,3,3,0.09,Craryville,12521,1320,2/28/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,549000,3,2,0.25,Claverack,12534,1890,1/10/2020
New York,20201249,for_sale,345000,3,2,0.32,Chatham,12037,1126,6/16/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,5650000,4,5,1.01,Montauk,11954,4200,10/15/2020
New York,20201249,for_sale,5250000,4,2,1.2,Montauk,11954,2000,10/26/2020
New York,20201249,for_sale,3450000,6,8,0.57,Montauk,11954,4011,4/20/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,435000,3,2,5.01,East Chatham,12060,2504,11/9/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,209900,3,1,3.2,Fort Ann,12827,1120,11/18/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,369900,3,2,0.65,Canaan,12029,1600,5/7/2020
New York,20201249,for_sale,695000,6,4,0.33,Greenwich,12834,4776,3/13/2020
New York,20201249,for_sale,150000,2,2,0.45,Pittstown,12180,1550,4/2/2020
New York,20201249,for_sale,65000,1,1,6,Hebron,12865,1761,2/28/2020
New York,20201249,for_sale,229000,1,2,5.81,Jackson Heights,12873,1170,9/22/2020
New York,20201249,for_sale,75000,2,1,0.31,White Creek,12816,1260,4/29/2020
New York,20201249,for_sale,109000,4,3,0.05,Hoosick Falls,12090,1890,3/24/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,249900,3,2,0.01,Plattsburgh,12903,1450,2/28/2020
New York,20201249,for_sale,415000,4,3,12.53,Peru,12972,2364,11/23/2020
New York,20201249,for_sale,145000,3,2,3,Plattsburgh,12901,2918,10/28/2020
New York,20201249,for_sale,235000,3,3,0.01,Plattsburgh,12901,1995,10/28/2020
New York,20201249,for_sale,235000,3,3,0.01,Plattsburgh,12901,1995,10/28/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,264900,5,3,4.8,West Chazy,12992,1806,1/28/2020
New York,20201249,for_sale,329900,4,2,0.5,Ticonderoga,12883,2761,10/27/2020
New York,20201249,for_sale,145000,3,2,3,Plattsburgh,12901,2918,10/28/2020
New York,20201249,for_sale,238500,3,2,1,Peru,12972,2485,1/8/2020
New York,20201249,for_sale,249900,3,2,0.01,Plattsburgh,12903,1450,2/28/2020
