state_name,pop_1990,pop_2000,pop_2010,pop_2020,pop_2021,change2020_21
united states,248790925.0,281424600.0,308745538.0,331449281.0,331893745.0,0.10%
alabama,4040389.0,4447207.0,4779736.0,5024279.0,5039877.0,0.30%
alaska,550043.0,626933.0,710231.0,733391.0,732673.0,-0.10%
arizona,3665339.0,5130247.0,6392017.0,7151502.0,7276316.0,1.70%
arkansas,2350624.0,2673293.0,2915918.0,3011524.0,3025891.0,0.50%
california,29811427.0,33871653.0,37253956.0,39538223.0,39237836.0,-0.80%
colorado,3294473.0,4302086.0,5029196.0,5773714.0,5812069.0,0.70%
connecticut,3287116.0,3405650.0,3574097.0,3605944.0,3605597.0,0.00%
delaware,666168.0,783559.0,897934.0,989948.0,1003384.0,1.40%
district of columbia,606900.0,572086.0,601723.0,689545.0,670050.0,-2.80%
florida,12938071.0,15982571.0,18801310.0,21538187.0,21781128.0,1.10%
georgia,6478149.0,8186653.0,9687653.0,10711908.0,10799566.0,0.80%
hawaii,1108229.0,1211497.0,1360301.0,1455271.0,1441553.0,-0.90%
idaho,1006734.0,1293957.0,1567582.0,1839106.0,1900923.0,3.40%
illinois,11430602.0,12419927.0,12830632.0,12812508.0,12671469.0,-1.10%
indiana,5544156.0,6080827.0,6483802.0,6785528.0,6805985.0,0.30%
iowa,2776831.0,2926538.0,3046355.0,3190369.0,3193079.0,0.10%
kansas,2477588.0,2688925.0,2853118.0,2937880.0,2934582.0,-0.10%
kentucky,3686892.0,4042193.0,4339367.0,4505836.0,4509394.0,0.10%
louisiana,4221826.0,4469035.0,4533372.0,4657757.0,4624047.0,-0.70%
maine,1227928.0,1274779.0,1328361.0,1362359.0,1372247.0,0.70%
maryland,4780753.0,5296647.0,5773552.0,6177224.0,6165129.0,-0.20%
massachusetts,6016425.0,6349364.0,6547629.0,7029917.0,6984723.0,-0.60%
michigan,9295287.0,9938823.0,9883640.0,10077331.0,10050811.0,-0.30%
minnesota,4375665.0,4919631.0,5303925.0,5706494.0,5707390.0,0.00%
mississippi,2575475.0,2844754.0,2967297.0,2961279.0,2949965.0,-0.40%
missouri,5116901.0,5596564.0,5988927.0,6154913.0,6168187.0,0.20%
montana,799065.0,902200.0,989415.0,1084225.0,1104271.0,1.80%
nebraska,1578417.0,1711230.0,1826341.0,1961504.0,1963692.0,0.10%
nevada,1201675.0,1998250.0,2700551.0,3104614.0,3143991.0,1.30%
new hampshire,1109252.0,1235807.0,1316470.0,1377529.0,1388992.0,0.80%
new jersey,7747750.0,8414764.0,8791894.0,9288994.0,9267130.0,-0.20%
new mexico,1515069.0,1819017.0,2059179.0,2117522.0,2115877.0,-0.10%
new york,17990778.0,18977026.0,19378102.0,20201249.0,19835913.0,-1.80%
north carolina,6632448.0,8046346.0,9535483.0,10439388.0,10551162.0,1.10%
north dakota,638800.0,642237.0,672591.0,779094.0,774948.0,-0.50%
ohio,10847115.0,11353336.0,11536504.0,11799448.0,11780017.0,-0.20%
oklahoma,3145576.0,3450451.0,3751351.0,3959353.0,3986639.0,0.70%
oregon,2842337.0,3421524.0,3831074.0,4237256.0,4246155.0,0.20%
pennsylvania,11882842.0,12280548.0,12702379.0,13002700.0,12964056.0,-0.30%
rhode island,1003464.0,1048259.0,1052567.0,1097379.0,1095610.0,-0.20%
south carolina,3486310.0,4012023.0,4625364.0,5118425.0,5190705.0,1.40%
south dakota,696004.0,754858.0,814180.0,886667.0,895376.0,1.00%
tennessee,4877203.0,5689427.0,6346105.0,6910840.0,6975218.0,0.90%
texas,16986335.0,20851028.0,25145561.0,29145505.0,29527941.0,1.30%
utah,1722850.0,2233183.0,2763885.0,3271616.0,3337975.0,2.00%
vermont,562758.0,608613.0,625741.0,643077.0,645570.0,0.40%
virginia,6189197.0,7079057.0,8001024.0,8631393.0,8642274.0,0.10%
washington,4866669.0,5894281.0,6724540.0,7705281.0,7738692.0,0.40%
west virginia,1793477.0,1808193.0,1852994.0,1793716.0,1782959.0,-0.60%
wisconsin,4891954.0,5363757.0,5686986.0,5893718.0,5895908.0,0.00%
wyoming,453589.0,493786.0,563626.0,576851.0,578803.0,0.30%
puerto rico,3522037.0,3808605.0,3725789.0,3285874.0,3263584.0,-0.70%
